,Global_reactive_power at scale: 5^2,mse,predicted
0,0.2495013413635068,0.08391886747310359,-0.04018619284033775
1,-0.8706965693157348,0.7497372312825075,-0.004822888411581516
2,-0.16727692456878526,0.020995843150370896,-0.0223775003105402
3,0.4230171908536858,0.21873862671504363,-0.04467782378196716
4,-0.37396492175561546,0.12072790603546525,-0.02650570683181286
5,-0.2761496144449755,0.0649443712932892,-0.02130775898694992
6,-0.8154096564879818,0.6182651059444364,-0.02911129966378212
7,0.9563232576690874,1.0556707915247416,-0.07113515585660934
8,0.18060534230123013,0.04837816452298872,-0.03934502601623535
9,1.9897632436032398,3.911270174638409,0.012070098891854286
10,0.7811062723995933,0.38541039834182783,0.16029196977615356
11,2.879457256185235,6.740265634481496,0.28325510025024414
12,0.9393118998759331,0.21662633287780303,0.4738805592060089
13,0.904438616399966,0.12333100575163312,0.5532534718513489
14,0.28267348906015843,0.06408228456712281,0.5358182787895203
15,1.251470315380323,0.6609163450607835,0.438502699136734
16,0.9214499741931207,0.29495859671846214,0.37834906578063965
17,0.5233842018332987,0.03359645610543422,0.3400908410549164
18,0.5693148678748164,0.074702529971574,0.2959972321987152
19,3.259661102862243,9.018667082967632,0.2565515339374542
20,2.8394805653713204,6.070244647340289,0.3756939172744751
21,2.0050734656170794,2.115664394231475,0.5505411028862
22,3.251155423965667,6.766888154175161,0.6498311161994934
23,0.3702819816949058,0.13874307309002565,0.7427642941474915
24,-0.2463797383069547,0.7938264732667507,0.6445896625518799
25,-0.78223750879133,1.497715356299585,0.4415743052959442
26,0.35497175968106653,0.020009403990593793,0.21351715922355652
27,-0.21235702272064505,0.08229662609665934,0.07451686263084412
28,-0.6027676840735473,0.3495466291220687,-0.011542998254299164
29,-0.37396492175561546,0.08746302135665993,-0.07822344452142715
30,0.19081215697712287,0.09607317034011013,-0.11914456635713577
31,0.0011355175834472035,0.012572287695271307,-0.11099069565534592
32,-1.2228316756340387,1.3095580023296303,-0.07847246527671814
33,0.27246667438426597,0.13892527149749065,-0.10026013106107712
34,-0.09923149339616599,3.521877510652791e-05,-0.09329695254564285
35,0.20357067532198903,0.07556895766464825,-0.07132741063833237
36,-1.3614742416482501,1.772029714685403,-0.030298177152872086
37,0.2784206496118699,0.11612995558382558,-0.06235780566930771
38,-0.38757400799013947,0.10151837342549709,-0.06895452737808228
39,-0.27189677499668685,0.03914660343415619,-0.07404176890850067
40,-1.1190623930957946,1.085719194411205,-0.07708389312028885
41,-0.010772432871760948,0.012118167456040569,-0.12085498124361038
42,0.36177630279832845,0.2497506570411344,-0.13797429203987122
