,Global_active_power at scale: 5^2,mse,predicted
0,-0.5136227267997497,0.15606052896393732,-0.1185777559876442
1,-0.4111547452018827,0.02338124701169513,-0.25824546813964844
2,-0.3056924436223665,0.003894348162660563,-0.3680971562862396
3,-0.2046086394920701,0.04962362482133372,-0.4273722469806671
4,0.017038317485402098,0.20012345997314057,-0.4303132891654968
5,-0.20943091823361082,0.027821536483106393,-0.37622880935668945
6,-0.15470584068569804,0.021798238831813845,-0.3023481070995331
7,-0.14014062448528836,0.008159945569938942,-0.23047304153442383
8,-0.20881242099222483,0.0013075346506886787,-0.17265257239341736
9,-0.12250589104940689,0.000241890087664557,-0.13805870711803436
10,-0.028277665699601596,0.008426437766059855,-0.12007329612970352
11,0.025150305665141214,0.017492903066438584,-0.10711043328046799
12,-0.16029909527846914,0.004678526134334772,-0.0918993428349495
13,-0.05660564469758821,0.0008873845553227218,-0.08639464527368546
14,0.11633088411660596,0.040778719344787245,-0.08560653030872345
15,0.28046462700705893,0.1267933454348636,-0.07561590522527695
16,0.25998320432743904,0.0933427196298037,-0.045537203550338745
17,0.5577725548868517,0.314262891721775,-0.0028190002776682377
18,0.3067045045325928,0.060798760263111304,0.06013045832514763
19,0.3046756363466298,0.03519409521700377,0.11707474291324615
20,0.9381610606281834,0.6116135748452695,0.15610378980636597
21,0.6851221503708488,0.2221391632931712,0.21380573511123657
22,0.43636906144281024,0.02630159083851774,0.27419140934944153
23,0.8455062571940579,0.2855600682289418,0.31112805008888245
24,1.2026187528709782,0.7352796584806428,0.34513425827026367
25,0.30397426145631,0.009344468764256045,0.4006410539150238
26,-0.12169957425725905,0.2943929068030355,0.4208802878856659
27,-0.25399155951352553,0.39345538785572165,0.37326866388320923
28,-0.08384513323747875,0.12067158550132107,0.2635330259799957
29,0.23281139272180118,0.010212961853647671,0.13175219297409058
30,0.2039031721435749,0.02995009946171005,0.03084220178425312
31,-0.7106948733430819,0.47422142463158334,-0.022057505324482918
32,-1.2465682090175454,1.3374448312110343,-0.09008871018886566
33,-0.5761747585668632,0.12806345369580077,-0.2183152139186859
34,-0.9759607581403194,0.3950542972420678,-0.3474273085594177
35,-1.1450738552812678,0.4571284312803702,-0.46896111965179443
36,-1.1635738962646762,0.34013768943321804,-0.5803606510162354
37,-1.2587209145421887,0.343831490943476,-0.6723494529724121
38,-1.202792791210797,0.2117221435614471,-0.7426600456237793
39,-1.2358377788028418,0.2038164233258609,-0.7843774557113647
40,-1.3023515425407066,0.25255400050252397,-0.7998040318489075
41,-1.175884008188952,0.1419572643789359,-0.7991118431091309
42,-1.257382955594783,0.2263415180143028,-0.7816293239593506
43,-1.1837037965579509,0.1807420767443779,-0.7585660815238953
44,-1.1929087382267751,0.21139661781002575,-0.7331298589706421
45,-1.292811618284568,0.3390269837932507,-0.710551381111145
46,-1.2039104531436582,0.2528438949857378,-0.7010746002197266
47,-1.179006537564098,0.22901287669494963,-0.7004536390304565
48,-0.4701645734767644,0.05460538302491768,-0.7038425207138062
49,-0.6836783497457093,0.0003987850564566633,-0.6637087464332581
50,0.43941230069414255,1.072244809262857,-0.5960802435874939
